Company Name,Ratings,Reviews,Salaries,Interviews,Jobs,Benefits,Photos,Highly Rated for,Critical Rated for,Industry,Location
Udaan India - The Original Visa Company,4.3,364,1500,23,,1,,"Skill Development / Learning, Salary & Benefits, Company Culture",,,Bengaluru +78 other locations
Suzuki,3.8,364,1200,38,,61,,"Job Security, Company Culture, Salary & Benefits",,Automobile,Ahmedabad +60 other locations
K L University,3.8,364,1100,46,4,30,,"Job Security, Salary & Benefits",Promotions / Appraisal,Education & Training,Vijayawada +19 other locations
Centre For Sight,3.9,364,1300,18,23,29,3,,"Promotions / Appraisal, Salary & Benefits",Healthcare,New Delhi +36 other locations
Sunflag Iron and Steel,3.7,364,1200,31,,28,,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",Iron & Steel,Bhandara +16 other locations
Slice,3.2,365,2200,53,8,6,,,"Promotions / Appraisal, Job Security, Skill Development / Learning",Banking,Bengaluru +38 other locations
Watchyourhealth.com,4.6,364,359,54,3,22,2,"Company Culture, Work Life Balance, Work Satisfaction",,Emerging Technologies,Thane +3 other locations
Cashpor Micro Credit,3.5,364,820,25,,26,,,"Promotions / Appraisal, Work Satisfaction, Company Culture",NBFC,Varanasi +60 other locations
SRMB SRIJAN,3.6,364,1100,34,52,26,2,,"Promotions / Appraisal, Salary & Benefits, Company Culture",Iron & Steel,Kolkata +48 other locations
CapeStart,4.5,364,616,71,23,126,22,"Company Culture, Job Security, Skill Development / Learning",,IT Services & Consulting,Nagercoil +4 other locations
Indifi Technologies,3.6,363,1800,41,26,16,,,"Promotions / Appraisal, Job Security, Work Satisfaction",FinTech,Gurugram +14 other locations
Servion Global Solutions,3.2,363,2600,36,10,29,,,"Promotions / Appraisal, Job Security, Skill Development / Learning",IT Services & Consulting,Chennai +14 other locations
Cedcoss Technologies,3,363,1900,51,16,27,,,"Job Security, Company Culture, Work Life Balance",IT Services & Consulting,Lucknow +3 other locations
Lido Learning,2.1,363,1500,55,,41,2,,"Job Security, Company Culture, Work Satisfaction",EdTech,Mumbai +18 other locations
Birla Cement,4.1,363,1100,29,,30,1,"Job Security, Company Culture, Work Life Balance",,Building Material,Satna +73 other locations
Capital Small Finance Bank,3.7,363,1300,11,8,24,,,"Work Satisfaction, Skill Development / Learning",Banking,Jalandhar +69 other locations
T&M Services consulting,3.7,363,1100,23,,22,,,"Promotions / Appraisal, Job Security, Salary & Benefits",Recruitment,Mumbai +93 other locations
Offshoot Agency,3.4,363,1200,27,,20,2,,"Promotions / Appraisal, Job Security, Salary & Benefits",IT Services & Consulting,New Delhi +22 other locations
Concord Biotech,3.7,362,1900,22,,24,1,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",Pharma,Ahmedabad +22 other locations
Hollister Medical,4,363,1100,26,13,40,,"Company Culture, Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits",Medical Equipment,Rewari +12 other locations
Planetcast,3.7,362,1500,31,,21,,Job Security,"Promotions / Appraisal, Salary & Benefits",Media & Entertainment,Noida +14 other locations
Bliss Gvs Pharma,4,362,1600,30,2,13,,"Job Security, Salary & Benefits, Company Culture",,Pharma,Mumbai +14 other locations
Priya Cement,4.1,363,1100,17,,35,,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,Building Material,Kurnool +52 other locations
Tega Industries,3.7,362,1500,27,15,32,3,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Industrial Machinery,Kolkata +19 other locations
Rahee Group,4,362,1100,37,24,16,1,"Work Life Balance, Job Security",Promotions / Appraisal,Railways,Kolkata +49 other locations
Amoli Organics,3.7,362,1900,16,,31,,"Work Life Balance, Job Security",Promotions / Appraisal,Pharma,Vadodara +15 other locations
Evolent Health International,3.9,362,1700,29,8,38,7,"Work Life Balance, Company Culture, Work Satisfaction","Job Security, Promotions / Appraisal",Software Product,Pune +5 other locations
Pharmarack Technologies,3.5,362,1700,30,3,25,,,"Promotions / Appraisal, Job Security, Company Culture",Pharma,Pune +69 other locations
People Group,3.4,362,1500,14,56,31,2,,"Promotions / Appraisal, Work Satisfaction, Job Security",Internet,Mumbai +30 other locations
Tata Digital,2.4,361,1900,49,12,39,16,,"Promotions / Appraisal, Company Culture, Work Satisfaction",IT Services & Consulting,Mumbai +10 other locations
Sj Contracts,4.2,361,1200,25,6,23,,"Company Culture, Job Security, Skill Development / Learning",,Engineering & Construction,Pune +9 other locations
SiliconIndia,2.7,361,1700,27,2,8,1,,"Company Culture, Work Life Balance, Work Satisfaction",Printing & Publishing,Bengaluru +9 other locations
Endava,3.5,361,2400,26,,21,,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",IT Services & Consulting,Bengaluru +13 other locations
Rainbow Hospital,3.7,361,1500,20,,10,,,"Promotions / Appraisal, Salary & Benefits",Healthcare,Hyderabad +20 other locations
Kokuyo Camlin,3.8,361,1100,25,,27,,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",FMCG,Mumbai +66 other locations
Berar Finance,3.5,361,946,22,,8,1,,"Promotions / Appraisal, Job Security, Salary & Benefits",NBFC,Nagpur +96 other locations
Pranav Vikas India Private Limited,3.8,360,1200,33,1,31,11,Work Life Balance,"Job Security, Promotions / Appraisal",Automobile,Faridabad +16 other locations
Bellsonica Auto Component,3.9,360,1300,24,2,26,,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal,Auto Components,Gurugram +14 other locations
Captain Steel India Limited,3.8,360,874,22,25,9,50,Salary & Benefits,,Iron & Steel,Kolkata +75 other locations
Data-Core Systems,2.9,360,1200,22,20,37,,,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",IT Services & Consulting,Kolkata +7 other locations
Vedant Fashions,4.2,360,1200,22,24,24,,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal,Fashion & Textile,Kolkata +49 other locations
Transguard Group,3.9,360,480,20,,48,4,,Promotions / Appraisal,Law Enforcement & Security,Dubai +26 other locations
Subway,4.2,360,816,26,1,34,6,"Company Culture, Work Life Balance, Work Satisfaction",,Hospitality,New Delhi +68 other locations
Ample Technologies,3.7,360,1500,24,31,34,4,,"Promotions / Appraisal, Work Satisfaction",IT Services & Consulting,Bengaluru +29 other locations
Time Technoplast,3.8,360,1800,15,2,37,,Job Security,"Promotions / Appraisal, Salary & Benefits",Petrochemicals,Mumbai +35 other locations
GGS Information Services,3.8,360,2000,29,5,34,,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,IT Services & Consulting,Chennai +10 other locations
Toshiba Transmission & Distribution Systems,4,360,1700,24,22,40,6,"Job Security, Work Life Balance, Salary & Benefits",Promotions / Appraisal,Electrical Equipment,Hyderabad +23 other locations
Wipro GE Health Care,4,359,1500,17,,51,,"Company Culture, Job Security, Skill Development / Learning",,IT Services & Consulting,Bengaluru +34 other locations
Apcer Life Sciences,3.5,359,1300,23,,21,9,,"Promotions / Appraisal, Company Culture, Work Satisfaction",Pharma,Ahmedabad +8 other locations
Ryan International School,3.1,359,978,19,,37,,,"Promotions / Appraisal, Company Culture, Work Satisfaction",Education & Training,Mumbai +45 other locations
SATTVA,4.2,359,1600,30,1,21,,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,Real Estate,Bengaluru +15 other locations
Audi,3.7,359,1200,16,,52,3,,"Promotions / Appraisal, Salary & Benefits",Automobile,New Delhi +55 other locations
Treebo Hotels,3.2,359,1400,28,107,41,6,,"Job Security, Work Satisfaction, Promotions / Appraisal",Internet,Bengaluru +39 other locations
NCCCL,3.4,359,1100,18,2,29,,,"Promotions / Appraisal, Salary & Benefits, Company Culture",Engineering & Construction,Bengaluru +25 other locations
Avineon India,4,359,1400,31,3,33,,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,IT Services & Consulting,Hyderabad +9 other locations
Adarsh Credit Co-Operative Society,4.4,358,533,5,,54,,"Salary & Benefits, Work Life Balance, Skill Development / Learning",,Investment Banking / Venture Capital / Private Equity,Ahmedabad +139 other locations
Ssipl Lifestyle,4.1,358,951,6,7,33,,"Skill Development / Learning, Work Life Balance, Work Satisfaction",,Retail,New Delhi +49 other locations
Awign Enterprises,3.7,358,1100,45,61,12,2,,"Promotions / Appraisal, Job Security, Salary & Benefits",Internet,Bengaluru +51 other locations
Schaeffer & Sam,3.3,358,762,13,,7,,,"Promotions / Appraisal, Work Satisfaction, Company Culture",Accounting & Auditing,Mumbai +24 other locations
SEIL Energy India,4,358,1500,18,,32,,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,Power,Nellore +33 other locations
Eclat Health Solutions,3.8,358,1200,63,11,7,6,"Job Security, Work Life Balance",Promotions / Appraisal,Analytics & KPO,Hyderabad +11 other locations
Tribhovandas Bhimji Zaveri,4,358,1000,8,3,49,1,"Work Life Balance, Job Security, Company Culture",,Metals & Mining,Mumbai +34 other locations
Hays Business Solutions,3.3,358,1900,22,12,36,,,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",Recruitment,Noida +12 other locations
Aarti Drugs,3.4,358,1500,24,,27,,,"Promotions / Appraisal, Salary & Benefits, Company Culture",Pharma,Mumbai +12 other locations
Pegasystems,3.6,358,3200,32,75,52,3,,"Promotions / Appraisal, Work Satisfaction, Job Security",Software Product,Hyderabad +5 other locations
Zoomcar,3.7,358,1600,24,,44,6,,"Job Security, Promotions / Appraisal, Company Culture",Internet,Bengaluru +29 other locations
Uneecops Technologies,3.7,358,2000,22,4,33,3,Job Security,Promotions / Appraisal,IT Services & Consulting,Noida +25 other locations
Wagh Bakri Tea Group,4.2,358,1200,28,8,36,,"Work Life Balance, Job Security, Salary & Benefits",,Beverage,Ahmedabad +57 other locations
Apmosys Technologies,3.2,357,2700,54,14,11,,,"Company Culture, Promotions / Appraisal, Work Life Balance",IT Services & Consulting,Mumbai +10 other locations
Expert Global Solutions,3.5,357,2000,37,,18,,,"Promotions / Appraisal, Job Security, Skill Development / Learning",BPO,Pune +13 other locations
Mobiloitte Technologies,2.9,357,998,34,7,30,24,,"Job Security, Company Culture, Work Life Balance",IT Services & Consulting,New Delhi +9 other locations
Lalitha Jewellery,3.9,357,1000,22,9,25,,"Work Life Balance, Work Satisfaction, Job Security",Promotions / Appraisal,Jewellery,Chennai +44 other locations
Hitachi Hi-Rel Power Electronics,3.7,357,1600,24,11,33,,Job Security,"Promotions / Appraisal, Salary & Benefits",Electronics Manufacturing,Ahmedabad +31 other locations
Utkarsh India,3.7,357,1200,52,1,17,,,"Work Life Balance, Promotions / Appraisal, Company Culture",Iron & Steel,Kolkata +21 other locations
Mitra SK,3.9,357,1000,14,,27,2,"Skill Development / Learning, Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits",Other,Kolkata +48 other locations
Health India Tpa Services,3.3,357,1400,25,8,28,,,"Promotions / Appraisal, Company Culture, Work Satisfaction",Insurance,Mumbai +33 other locations
Hitachi Vantara,3.5,356,5300,6,52,37,,Work Life Balance,"Promotions / Appraisal, Work Satisfaction, Job Security",IT Services & Consulting,Hyderabad +14 other locations
Actalent Services,3.7,356,1700,24,3,2,20,"Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Recruitment,Bengaluru +9 other locations
Ben Franklin Opticians,3.9,356,788,25,,29,3,"Work Life Balance, Work Satisfaction, Skill Development / Learning",Promotions / Appraisal,Retail,Hyderabad +109 other locations
N Ranga Rao And Sons,3.9,356,938,14,3,26,,"Company Culture, Work Life Balance",Promotions / Appraisal,FMCG,Mysuru +76 other locations
Holcim,3.5,356,2000,24,25,38,1,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",Building Material,Mumbai +36 other locations
Vini Cosmetics,3.9,357,820,16,,19,,Salary & Benefits,"Job Security, Promotions / Appraisal",Beauty & Personal Care,Mumbai +96 other locations
RSM US in India,3.5,356,3300,47,606,12,,,"Promotions / Appraisal, Work Satisfaction, Job Security",Management Consulting,Bengaluru +14 other locations
OneSource Specialty Pharma Limited,3.8,356,1800,43,,38,3,,"Promotions / Appraisal, Work Satisfaction",Pharma,Bengaluru +7 other locations
Emami Paper Mills,4.2,356,819,54,3,23,4,"Job Security, Work Life Balance, Company Culture",,Pulp & Paper,Balasore +8 other locations
Capri Global Housing Finance,3.5,356,1100,22,,8,1,,"Job Security, Work Life Balance, Promotions / Appraisal",NBFC,Mumbai +95 other locations
Syncfusion,3.4,355,2000,55,,41,,Job Security,"Company Culture, Promotions / Appraisal, Salary & Benefits",Software Product,Chennai +5 other locations
Ventura Securities,4,355,1300,33,2,29,4,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,Financial Services,Mumbai +42 other locations
TRL Krosaki Refractories,3.8,355,1500,35,,38,2,Job Security,Promotions / Appraisal,Metals & Mining,Jharsuguda +23 other locations
New Opportunity Consultancy,4.1,355,966,9,81,22,,"Work Life Balance, Work Satisfaction, Company Culture",,Recruitment,Coimbatore +140 other locations
Gujarat Alkalies & Chemicals,4.6,355,1500,27,,43,,"Work Life Balance, Company Culture, Job Security",,Chemicals,Bharuch +15 other locations
Qentelli,3.6,355,1800,27,71,79,25,Salary & Benefits,"Job Security, Promotions / Appraisal",IT Services & Consulting,Hyderabad +4 other locations
Dorset Industries,4.4,354,909,77,7,10,5,"Company Culture, Work Life Balance, Job Security",,Building Material,Gurugram +48 other locations
DotPe,3.1,355,1600,43,,11,5,,"Job Security, Promotions / Appraisal, Work Satisfaction",IT Services & Consulting,Gurugram +23 other locations
The Park Hotels,3.9,354,1200,10,,49,,Job Security,"Promotions / Appraisal, Salary & Benefits",Hospitality,Kolkata +25 other locations
Medall Healthcare,3.6,354,1100,6,5,29,2,,"Promotions / Appraisal, Job Security, Work Satisfaction",Healthcare,Chennai +52 other locations
Brick&Bolt,3.5,354,1300,38,16,3,23,Salary & Benefits,"Job Security, Work Life Balance, Work Satisfaction",Engineering & Construction,Bengaluru +9 other locations
Vaibhav Global,3.1,354,1500,26,23,31,21,,"Promotions / Appraisal, Job Security, Work Satisfaction",Jewellery,Jaipur +11 other locations
Debtcare Enterprises,4.3,353,317,13,1,71,31,"Company Culture, Skill Development / Learning, Work Life Balance",,Investment Banking / Venture Capital / Private Equity,Hyderabad +17 other locations
MAHLE Behr India,3.6,353,873,13,4,60,,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",Auto Components,Pune +11 other locations
Jumio,3.8,353,994,17,5,45,1,Salary & Benefits,"Job Security, Skill Development / Learning, Promotions / Appraisal",Emerging Technologies,Jaipur +12 other locations
Yamaha Motor India Sales,4.1,354,981,16,4,21,,"Work Life Balance, Job Security",Promotions / Appraisal,Automobile,Chennai +61 other locations
INOX Air Products,4,353,1700,24,,25,1,"Job Security, Work Life Balance",Promotions / Appraisal,Oil & Gas,Pune +58 other locations
Ultra Corpotech,4,353,1800,24,8,6,11,"Skill Development / Learning, Work Life Balance, Job Security",Promotions / Appraisal,Industrial Machinery,Pune +5 other locations
RNFI Services,3.2,353,1000,19,,8,,,"Job Security, Company Culture, Work Satisfaction",FinTech,New Delhi +100 other locations
Technocon Services,3.3,353,859,48,2,15,,,"Promotions / Appraisal, Salary & Benefits, Company Culture",Engineering & Construction,Kolkata +39 other locations
Lumino Industries,3.8,354,1000,22,3,12,,,Promotions / Appraisal,Electrical Equipment,Kolkata +47 other locations
DEN Networks,3.8,352,1400,14,,28,,"Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",Broadcasting,New Delhi +46 other locations
Harjai Computers,3.2,352,1700,35,1,68,,,"Promotions / Appraisal, Job Security, Company Culture",Recruitment,Mumbai +14 other locations
VST Industries,3.7,352,901,17,,31,,Salary & Benefits,"Promotions / Appraisal, Job Security, Company Culture",FMCG,Hyderabad +89 other locations
Carraro,4,352,1400,15,,29,,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,Industrial Machinery,Pune +5 other locations
Deenanath Mangeshkar Hospital,3.8,352,967,16,26,31,,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",Healthcare,Pune +11 other locations
Lauritz Knudsen Electrical & Automation,4.2,364,1400,23,,22,,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,,Mumbai +71 other locations
TMF Group,3.7,351,1800,27,100,23,,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Financial Services,Pune +11 other locations
B S R & Co Llp,3.1,351,3700,25,47,15,,,"Work Life Balance, Promotions / Appraisal, Work Satisfaction",Accounting & Auditing,Mumbai +21 other locations
Gupta Power Infrastructure,3,350,1300,13,,36,,,"Promotions / Appraisal, Salary & Benefits, Company Culture",Power,Bhubaneswar +42 other locations
AIMLAY,4.7,354,397,16,22,10,29,"Skill Development / Learning, Company Culture, Work Life Balance",,EdTech,New Delhi +3 other locations
Seth M R Jaipuria School,3.6,350,893,27,5,34,8,,"Promotions / Appraisal, Job Security, Salary & Benefits",Education & Training,Lucknow +50 other locations
Duroflex,4,350,1600,27,5,22,2,Work Life Balance,Promotions / Appraisal,Furniture & Furnishing,Bengaluru +48 other locations
Nabard Financial Services,4.1,350,865,20,,16,1,"Salary & Benefits, Work Life Balance, Company Culture",,NBFC,Bengaluru +130 other locations
HL Mando,4,350,1200,19,,3,,"Company Culture, Job Security, Skill Development / Learning",Promotions / Appraisal,Auto Components,Chennai +21 other locations
Netcore Cloud Private Limited,4.2,350,1600,32,46,14,47,"Job Security, Company Culture, Work Life Balance",,Marketing & Advertising,Mumbai +12 other locations
Lam Research,3.8,350,2600,57,134,28,,"Company Culture, Salary & Benefits","Promotions / Appraisal, Work Satisfaction, Job Security",Semiconductors,Bengaluru +3 other locations
Windlas Biotech,3.9,350,1400,27,,26,,"Salary & Benefits, Work Life Balance, Job Security",,Pharma,Dehradun +14 other locations
Vijay Nirman Company,3.6,350,880,8,,56,,,"Promotions / Appraisal, Salary & Benefits, Company Culture",Engineering & Construction,Hyderabad +33 other locations
Vatika Group,4.1,349,1300,17,,33,,"Work Life Balance, Job Security, Company Culture",,Hospitality,Gurugram +18 other locations
Akumentis Healthcare,3.3,349,847,18,,30,,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",Healthcare,Mumbai +52 other locations
Al Tasnim Enterprises,3.5,349,1300,16,,31,,,"Promotions / Appraisal, Company Culture, Work Satisfaction",Engineering & Construction,Muscat +18 other locations
Godrej Infotech,3.7,349,2000,33,4,22,41,"Job Security, Work Life Balance","Salary & Benefits, Promotions / Appraisal, Company Culture",IT Services & Consulting,Mumbai +18 other locations
Computacenter,3.9,349,2600,44,,22,5,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,IT Services & Consulting,Bengaluru +9 other locations
McNROE,3.8,350,1100,22,9,27,2,Salary & Benefits,"Promotions / Appraisal, Job Security",FMCG,Kolkata +66 other locations
TCI Supply Chain Solutions,4,349,854,20,,28,1,"Job Security, Skill Development / Learning, Company Culture",,Logistics,Gurugram +57 other locations
NU Vista,4.2,348,1200,11,,40,,"Skill Development / Learning, Job Security, Company Culture",,Building Material,Kolkata +65 other locations
R.K.M Powergen,3.9,349,1100,24,,28,4,"Work Life Balance, Work Satisfaction, Job Security",Promotions / Appraisal,Power,Raigarh +17 other locations
Hical Technologies,3.6,348,1600,24,9,24,,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Auto Components,Bengaluru +5 other locations
RWS Group,3.6,349,2200,30,15,15,6,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",IT Services & Consulting,Indore +22 other locations
QUADRANT TECHNOLOGIES INDIA PRIVATE LIMITED,3.7,348,2100,50,20,9,4,Work Life Balance,Promotions / Appraisal,Recruitment,Hyderabad +12 other locations
Learning Routes,4.5,348,410,90,6,13,18,"Company Culture, Skill Development / Learning, Promotions / Appraisal",,EdTech,Gurugram +14 other locations
EPIQ Systems,3.4,348,1900,18,6,31,10,,"Job Security, Promotions / Appraisal, Skill Development / Learning",Legal,Hyderabad +9 other locations
METRO Global Solutions Center,3.4,348,1300,17,,32,4,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting,Pune +9 other locations
Jaypee Cement,4,347,877,19,,48,2,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,Building Material,Rewa +70 other locations
Mitsubishi Electric Automotive India,4.4,348,920,29,,52,,"Company Culture, Work Life Balance, Salary & Benefits",,Automobile,Gurugram +16 other locations
Protiviti India Member,2.7,347,1600,36,127,10,,,"Promotions / Appraisal, Company Culture, Work Satisfaction",Management Consulting,Mumbai +28 other locations
Control Print,4.2,347,1200,84,17,32,1,"Company Culture, Work Life Balance, Work Satisfaction",,Industrial Machinery,Mumbai +44 other locations
National Highways Authority of India,3.9,347,1200,25,,12,1,Skill Development / Learning,"Promotions / Appraisal, Job Security",Engineering & Construction,New Delhi +154 other locations
Adient,4,347,1900,21,3,61,,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,Auto Components,Pune +13 other locations
Yalamanchili Software Exports,3.2,348,1300,18,1,27,1,,"Promotions / Appraisal, Salary & Benefits, Company Culture",Software Product,Chennai +12 other locations
e-Zest,3.9,347,3400,30,11,24,,"Work Life Balance, Company Culture",Promotions / Appraisal,IT Services & Consulting,Pune +6 other locations
Lloyds Metals And Energy,3.8,347,1300,37,,5,,,"Promotions / Appraisal, Company Culture, Work Life Balance",Metals & Mining,Chandrapur +14 other locations
Borosil Glass Works,3.7,347,1700,14,,22,,Salary & Benefits,"Work Satisfaction, Promotions / Appraisal",Packaging,Jaipur +37 other locations
Prem Motors,3.7,347,1100,15,2,34,4,,"Promotions / Appraisal, Salary & Benefits",Automobile,Gwalior +21 other locations
RV Solutions,3.7,346,1300,14,1,29,2,,Promotions / Appraisal,IT Services & Consulting,Noida +36 other locations
Synergies Castings,3.9,346,723,13,,10,6,"Job Security, Skill Development / Learning, Work Life Balance",Salary & Benefits,Auto Components,Visakhapatnam +6 other locations
Shiash Info Solutions,3,346,261,31,,19,1,,"Salary & Benefits, Promotions / Appraisal, Job Security",IT Services & Consulting,Chennai +9 other locations
L&T Defence,3.7,346,2000,31,,44,,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Defence & Aerospace,Pune +21 other locations
Swiss Re,3.8,346,2700,48,236,29,,"Work Life Balance, Company Culture","Promotions / Appraisal, Job Security, Work Satisfaction",Insurance,Bengaluru +6 other locations
Sekisui Dljm Molding,3.9,346,1300,21,,26,,Job Security,Promotions / Appraisal,Auto Components,Chennai +20 other locations
Orchid Pharma,3.7,346,1100,46,,17,,Job Security,"Promotions / Appraisal, Salary & Benefits",Pharma,Chennai +16 other locations
Zuari Cement,4.3,345,1200,23,,29,1,"Job Security, Work Life Balance, Company Culture",,Building Material,Hyderabad +45 other locations
Teleysia Networks,3.4,345,689,12,2,31,,,"Promotions / Appraisal, Job Security, Company Culture",Telecom,Ahmedabad +35 other locations
Eaton India Innovation Center,3.7,345,2300,37,,38,,"Job Security, Salary & Benefits","Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",Engineering & Construction,Pune +2 other locations
Asti Electronics India,4.1,345,1300,25,,45,2,"Work Life Balance, Company Culture, Job Security",,Auto Components,Gurugram +11 other locations
Hygienic Research Institute,3.8,345,1100,18,2,38,,"Work Life Balance, Company Culture, Salary & Benefits","Promotions / Appraisal, Skill Development / Learning",Beauty & Personal Care,Mumbai +60 other locations
ShopKirana,3.9,345,1100,18,,33,,"Company Culture, Work Life Balance, Work Satisfaction",Job Security,Software Product,Indore +25 other locations
Woodenstreet.com,3.4,345,1500,27,12,15,5,,"Promotions / Appraisal, Job Security, Company Culture",Furniture & Furnishing,Udaipur +28 other locations
Jay Chemical Industries,4.1,345,1500,22,6,31,,"Work Life Balance, Company Culture, Work Satisfaction",,Chemicals,Ahmedabad +28 other locations
Zydex Industries,3.9,345,1100,22,9,34,,"Company Culture, Work Life Balance",Promotions / Appraisal,Chemicals,Vadodara +71 other locations
Council of Scientific and Industrial Research,4.1,344,1200,25,,9,,"Work Life Balance, Company Culture, Work Satisfaction","Promotions / Appraisal, Job Security",Government,New Delhi +43 other locations
Country Holidays Inn & Suites,4.2,344,146,110,,172,3,"Work Life Balance, Company Culture, Work Satisfaction",,Travel & Tourism,Noida +16 other locations
Rashtriya Chemicals and Fertilizers,4.4,344,848,18,,17,,"Job Security, Work Life Balance, Company Culture",,Agro Chemicals,Mumbai +31 other locations
Infocepts Technologies,3.5,344,3000,41,42,19,3,,"Job Security, Promotions / Appraisal, Salary & Benefits",IT Services & Consulting,Nagpur +7 other locations
Arabian Industries,3.8,344,894,17,,32,,Work Life Balance,Promotions / Appraisal,Oil & Gas,Muscat +22 other locations
MapmyIndia,3.5,344,1800,30,3,23,,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",Software Product,New Delhi +11 other locations
Choice Consultancy Services,3.7,344,1100,16,,6,,,"Job Security, Promotions / Appraisal, Company Culture",Management Consulting,Mumbai +68 other locations
Shaadi.com,3.5,344,1300,33,13,10,,Salary & Benefits,"Promotions / Appraisal, Job Security, Company Culture",Internet,Mumbai +26 other locations
Lobo Staffing Solutions,4.1,344,1200,18,,20,,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,Recruitment,Mumbai +70 other locations
Roquette Riddhi Siddhi,4,344,1200,14,18,36,,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal,Pharma,Rudrapur +20 other locations
Yara Fertilisers,3.8,344,1100,22,,32,,Salary & Benefits,Promotions / Appraisal,Agro Chemicals,Gurugram +62 other locations
L&T Valves,3.7,344,1900,14,,28,,"Job Security, Skill Development / Learning","Promotions / Appraisal, Work Life Balance, Company Culture",Industrial Machinery,Coimbatore +15 other locations
Stellar Innovations,3.4,343,2000,27,17,16,2,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",IT Services & Consulting,Bengaluru +12 other locations
A-1 Fence Products,4,343,979,58,,49,28,"Company Culture, Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits",Building Material,Mumbai +20 other locations
Recipharm Pharmaservices,3.8,343,1500,9,,32,1,,"Promotions / Appraisal, Salary & Benefits",Pharma,Bengaluru +6 other locations
DCM Shriram Industries,4.1,343,1500,16,,3,1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,Chemicals,Meerut +35 other locations
Halonix Technologies,3.7,344,1300,18,2,26,1,"Company Culture, Work Life Balance, Salary & Benefits","Promotions / Appraisal, Skill Development / Learning",Electrical Equipment,Noida +53 other locations
Cotmac Electronics,3.7,343,1500,25,21,13,,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",Industrial Automation,Pune +23 other locations
Worldline,3.7,343,2300,42,7,2,15,Work Life Balance,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",FinTech,Mumbai +15 other locations
Gtpl Broadband,3.8,343,1300,19,,40,5,,Promotions / Appraisal,Telecom,Ahmedabad +46 other locations
Jaguar Security Services,4.5,343,891,29,7,29,,"Salary & Benefits, Company Culture, Work Life Balance",,Law Enforcement & Security,Bengaluru +21 other locations
Hindustan Syringes & Medical Devices,4,343,1100,24,4,28,1,"Job Security, Salary & Benefits, Work Life Balance",Promotions / Appraisal,Medical Equipment,Faridabad +16 other locations
Rithwik Projects,3.9,343,1100,37,20,14,3,Salary & Benefits,"Promotions / Appraisal, Job Security",Engineering & Construction,Hyderabad +57 other locations
ADNOC,4.3,342,842,32,,33,1,"Work Life Balance, Company Culture, Work Satisfaction",,Oil & Gas,Abu Dhabi +16 other locations
MYCPE ONE,3.9,342,1100,24,5,33,,"Salary & Benefits, Skill Development / Learning, Company Culture",,,Ahmedabad +23 other locations
