Company Name,Ratings,Reviews,Salaries,Interviews,Jobs,Benefits,Photos,Highly Rated for,Critical Rated for,Industry,Location
DXC Technology,3.6,11900,71900,896,197,1100,9,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting,Bengaluru +133 other locations
HDFC Life,3.9,11900,32900,797,101,613,55,"Job Security, Skill Development / Learning",,Insurance,Mumbai +706 other locations
Bandhan Bank,3.7,10900,25200,751,26,517,43,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",Banking,Kolkata +1002 other locations
Digitide Solutions,3.5,10200,26700,567,334,772,47,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting,Hyderabad +272 other locations
Mphasis,3.3,10100,74200,926,46,845,132,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting,Bengaluru +64 other locations
Yes Bank,3.7,10100,43100,552,189,608,18,,"Job Security, Promotions / Appraisal, Company Culture",Banking,Mumbai +543 other locations
Tata Steel,4,9800,34300,1100,,660,52,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,Iron & Steel,Jamshedpur +230 other locations
Quess,3.8,9600,31200,539,44,440,22,,"Promotions / Appraisal, Job Security",Recruitment,Bengaluru +746 other locations
Maruti Suzuki,4.2,9500,28200,784,789,1100,25,"Job Security, Salary & Benefits, Company Culture",,Automobile,Gurugram +455 other locations
Asian Paints,3.9,9500,25700,858,65,884,36,"Salary & Benefits, Skill Development / Learning, Job Security","Promotions / Appraisal, Work Life Balance",Chemicals,Mumbai +554 other locations
Startek,3.1,9400,24600,632,238,681,16,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",BPO,Bengaluru +103 other locations
UltraTech Cement,4.1,9300,24900,796,30,619,46,"Job Security, Skill Development / Learning, Company Culture",,Building Material,Mumbai +541 other locations
Paytm,3.2,9200,34300,891,254,582,24,,"Job Security, Promotions / Appraisal, Company Culture",FinTech,Noida +420 other locations
Bajaj Finance,3.9,9100,23000,436,6100,503,15,"Salary & Benefits, Skill Development / Learning, Job Security",,NBFC,Pune +983 other locations
Shriram Finance,4,9000,15000,448,14,21,44,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,NBFC,Chennai +1116 other locations
Sutherland Global Services,3.4,8900,35400,792,250,902,30,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",BPO,Chennai +84 other locations
Equitas Small Finance Bank,4.4,8800,13300,1000,24,397,43,"Job Security, Company Culture, Work Life Balance",,Banking,Chennai +484 other locations
Cipla,4.1,8500,26300,596,65,857,20,"Salary & Benefits, Work Life Balance, Skill Development / Learning",,Pharma,Mumbai +295 other locations
EXL Service,3.6,8500,44600,906,1200,799,20,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",Analytics & KPO,Noida +61 other locations
Wells Fargo,3.6,8500,57000,688,575,855,13,Work Life Balance,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",Financial Services,Bengaluru +27 other locations
Ericsson,3.9,8300,42300,473,42,998,17,"Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",Telecom,Noida +163 other locations
Samsung,3.9,8300,26400,628,20,521,16,Salary & Benefits,Promotions / Appraisal,Consumer Electronics & Appliances,Noida +585 other locations
Dr. Reddy's,4,8100,26000,509,11,740,28,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,Pharma,Hyderabad +215 other locations
Optum Global Solutions,4,7900,49900,765,130,686,2,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,IT Services & Consulting,Hyderabad +68 other locations
JPMorgan Chase & Co.,3.8,7700,88600,872,878,846,14,Job Security,Promotions / Appraisal,Financial Services,Bengaluru +55 other locations
JSW Steel,3.9,7700,31400,819,124,602,32,"Job Security, Skill Development / Learning",Promotions / Appraisal,Iron & Steel,Ballari +195 other locations
Delhivery,3.8,7700,21400,610,188,656,71,,Promotions / Appraisal,Logistics,Gurugram +760 other locations
ICICI Prudential Life Insurance,3.9,7700,23400,479,267,625,13,"Job Security, Salary & Benefits, Skill Development / Learning",,Insurance,Mumbai +506 other locations
Hexaware Technologies,3.4,7600,54200,827,512,547,30,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting,Chennai +69 other locations
Jana Small Finance Bank,3.8,7500,14100,307,47,623,17,Salary & Benefits,Promotions / Appraisal,Banking,Bengaluru +419 other locations
HGS,3.7,7500,20600,274,13,968,32,Job Security,"Promotions / Appraisal, Salary & Benefits",BPO,Bengaluru +122 other locations
Ujjivan Small Finance Bank,4,7500,13400,323,592,580,26,"Company Culture, Work Life Balance, Job Security",,Banking,Bengaluru +537 other locations
Sun Pharmaceutical Industries,4.1,7500,23300,667,387,594,17,"Salary & Benefits, Job Security, Skill Development / Learning",,Pharma,Vadodara +264 other locations
Amazon Development Centre India,3.8,7500,38600,890,4,360,12,"Company Culture, Work Life Balance","Promotions / Appraisal, Job Security, Skill Development / Learning",Internet,Hyderabad +146 other locations
Lupin,4.1,7300,22500,444,14,764,11,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,Pharma,Pune +205 other locations
Zydus Lifesciences,4,7300,19900,451,51,605,21,"Salary & Benefits, Skill Development / Learning",,Pharma,Ahmedabad +179 other locations
Ekart Logistics,3.9,7300,16200,407,,422,75,Skill Development / Learning,Promotions / Appraisal,Logistics,Bengaluru +741 other locations
L&T Construction,4,7300,19100,948,,929,37,"Job Security, Skill Development / Learning, Salary & Benefits","Work Life Balance, Promotions / Appraisal",Engineering & Construction,Chennai +434 other locations
Hindustan Unilever,4.2,7200,20400,470,39,704,6,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,FMCG,Mumbai +540 other locations
KPMG India,3.4,7200,66100,933,66,749,6,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",Management Consulting,Bengaluru +112 other locations
ITC,3.9,7100,24800,695,90,638,14,"Job Security, Skill Development / Learning",Promotions / Appraisal,FMCG,Bengaluru +377 other locations
Axis Max Life Insurance,4,7100,20100,408,141,495,8,"Skill Development / Learning, Company Culture, Work Life Balance",,Insurance,New Delhi +504 other locations
Megha Engineering & Infrastructures,3.9,6900,18800,566,30,539,39,Work Life Balance,Promotions / Appraisal,Engineering & Construction,Hyderabad +406 other locations
Tata Projects,4.2,6800,22700,602,55,540,59,"Salary & Benefits, Company Culture, Work Life Balance",,Engineering & Construction,Mumbai +287 other locations
Coforge,3.3,6700,50100,716,179,273,102,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",IT Services & Consulting,Noida +103 other locations
Bajaj Life Insurance,3.8,6500,17400,446,73,474,17,Salary & Benefits,,Insurance,Pune +615 other locations
Cholamandalam Investment & Finance,3.8,6500,13000,285,41,293,41,Salary & Benefits,Promotions / Appraisal,Financial Services,Chennai +857 other locations
L&T Technology Services,3.1,6500,43400,631,,444,11,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting,Bengaluru +93 other locations
FIS,3.8,6500,39000,536,123,721,17,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning",FinTech,Pune +60 other locations
Oracle,3.5,6300,63100,950,95,617,39,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Software Product,Bengaluru +56 other locations
Omega Healthcare,3.8,6300,27000,551,144,391,30,,"Promotions / Appraisal, Salary & Benefits",BPO,Chennai +69 other locations
Muthoot Finance,3.7,6300,12900,355,114,325,12,,"Promotions / Appraisal, Work Satisfaction",NBFC,Bengaluru +791 other locations
IIFL Finance,4,6300,14100,329,78,399,18,"Work Life Balance, Company Culture, Job Security",,NBFC,Mumbai +807 other locations
JLL,4.1,6300,24500,489,391,539,21,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,Real Estate,Gurugram +85 other locations
Indian Army,4.7,6200,9400,206,,728,10,"Job Security, Company Culture, Work Life Balance",,Defence & Aerospace,New Delhi +363 other locations
eClerx,3.1,6200,32600,638,655,555,26,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting,Pune +32 other locations
HCL Group,3.5,6100,39400,520,,661,1,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting,Chennai +97 other locations
DMart,3.9,6100,18400,551,211,470,17,"Job Security, Company Culture",Promotions / Appraisal,Retail,Mumbai +248 other locations
Virtusa Consulting Services,3.7,6000,56800,675,1100,318,23,,"Promotions / Appraisal, Work Satisfaction, Job Security",IT Services & Consulting,Hyderabad +55 other locations
Piramal Finance,4.2,6000,12300,295,8,445,4,"Company Culture, Work Life Balance, Skill Development / Learning",,NBFC,Mumbai +424 other locations
Indiamart Intermesh,3.5,5900,21500,755,167,432,17,,"Work Satisfaction, Promotions / Appraisal, Company Culture",Internet,Noida +174 other locations
HSBC Group,3.9,5900,43800,548,124,1100,26,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",Financial Services,Bengaluru +63 other locations
PolicyBazaar,3.8,5900,17400,630,770,231,27,Salary & Benefits,Work Life Balance,Internet,Gurugram +150 other locations
SMFG India Credit,3.9,5900,10900,210,50,348,18,Salary & Benefits,Promotions / Appraisal,NBFC,Mumbai +596 other locations
Access Healthcare,3.7,5800,28900,400,1900,347,9,Job Security,"Promotions / Appraisal, Skill Development / Learning",BPO,Chennai +63 other locations
BigBasket,3.9,5800,19500,488,82,381,36,Job Security,Promotions / Appraisal,Internet,Bengaluru +143 other locations
Siemens,3.9,5800,34200,509,79,632,13,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,Industrial Automation,Bengaluru +155 other locations
Aurobindo Pharma,4,5700,20700,291,21,468,9,"Job Security, Salary & Benefits, Work Life Balance",Promotions / Appraisal,Pharma,Hyderabad +115 other locations
Udaan,3.9,5700,15700,372,8,755,16,"Salary & Benefits, Skill Development / Learning","Job Security, Promotions / Appraisal",Internet,Bengaluru +367 other locations
GlobalLogic,3.5,5700,41100,684,33,515,21,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting,Hyderabad +62 other locations
Manappuram Finance,3.9,5700,9400,224,13,260,35,"Work Life Balance, Promotions / Appraisal, Skill Development / Learning",,NBFC,Bengaluru +657 other locations
Firstsource Solutions,3.5,5700,24700,364,165,570,13,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",BPO,Bengaluru +74 other locations
ICICI Lombard General Insurance Company,3.5,5700,20000,356,230,366,15,,"Promotions / Appraisal, Work Satisfaction, Company Culture",Insurance,Mumbai +318 other locations
Tata Capital,4,5700,15700,275,4900,257,23,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,NBFC,Mumbai +447 other locations
Shapoorji Pallonji Group,4.1,5700,15500,428,66,632,14,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,Engineering & Construction,Mumbai +189 other locations
Standard Chartered,3.6,5600,42200,323,,305,,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",Banking,Chennai +67 other locations
UST,3.7,5600,40000,591,76,408,16,Work Life Balance,"Promotions / Appraisal, Job Security, Salary & Benefits",IT Services & Consulting,Bengaluru +51 other locations
Apollo Hospitals,4.1,5600,16600,487,177,507,2,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,Healthcare,Chennai +228 other locations
Mahindra Finance,3.9,5600,12100,220,505,507,12,Work Life Balance,Promotions / Appraisal,NBFC,Mumbai +737 other locations
Bosch Global Software Technologies,3.7,5600,40600,392,16,626,21,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting,Bengaluru +47 other locations
Ashok Leyland,4,5500,18800,325,,642,15,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal,Automobile,Chennai +266 other locations
Swiggy,3.7,5500,23400,576,234,340,18,,"Promotions / Appraisal, Job Security, Work Satisfaction",Internet,Bengaluru +238 other locations
Citicorp,3.7,5500,53500,630,,517,6,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",Financial Services,Pune +68 other locations
Hero MotoCorp,4.1,5400,16000,411,1,584,10,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,Automobile,Gurugram +369 other locations
CGI Group,4,5400,46400,560,514,354,5,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",IT Services & Consulting,Bengaluru +43 other locations
Cyient,3.6,5300,27600,335,79,466,3,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",IT Services & Consulting,Hyderabad +49 other locations
SBI Cards & Payment Services,3.6,5200,16100,307,75,344,13,,"Promotions / Appraisal, Work Satisfaction, Company Culture",Financial Services,Gurugram +443 other locations
BNY,3.6,5200,31500,401,73,528,1,,"Promotions / Appraisal, Job Security, Work Satisfaction",Financial Services,Pune +26 other locations
Kalpataru Projects International,4.2,5200,13600,332,4,203,22,"Job Security, Skill Development / Learning, Salary & Benefits",,Engineering & Construction,Mumbai +325 other locations
NTT DATA,3.8,5200,36600,750,72,156,2,Work Life Balance,Promotions / Appraisal,IT Services & Consulting,Bengaluru +81 other locations
IQVIA,3.7,5200,31200,556,42,524,10,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits",Clinical Research,Bengaluru +66 other locations
Nagarjuna Construction Company,4,5100,12300,444,16,408,12,"Job Security, Company Culture, Work Life Balance",,Engineering & Construction,Hyderabad +299 other locations
JustDial,3.5,5100,15400,393,88,372,9,,"Promotions / Appraisal, Work Satisfaction, Job Security",Internet,Noida +232 other locations
Schneider Electric,4.1,5100,25000,457,168,436,13,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,Industrial Automation,Bengaluru +119 other locations
SBI Life Insurance Company,3.7,5100,12200,308,1,327,18,Job Security,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",Insurance,Mumbai +658 other locations
CBRE,4.1,5000,18900,353,198,443,19,"Company Culture, Work Life Balance, Job Security",,Real Estate,Hyderabad +92 other locations
TVS Motor,3.9,5000,16000,404,21,537,12,"Skill Development / Learning, Salary & Benefits",Promotions / Appraisal,Automobile,Hosur +352 other locations
